1384.5,1476.5,1370.86,1391,3532900,1227.809,0.008701958
1295.5,1390.5,1295,1379,3394300,1217.217,0.065276168
1226.5,1346.5,1215.5,1294.5,3569500,1142.63,0.063681183
1285,1307,1195.5,1217,4831700,1074.223,-0.038704581
1346,1346,1247,1266,5563700,1117.474,-0.063609467
1432.5,1436.5,1341.04,1352,4805100,1193.385,-0.051893408
1453.5,1456.5,1345,1426,4218300,1258.703,-0.025290499
1524.5,1561,1423,1463,3741200,1291.362,-0.041598428
1556.5,1575.5,1512.5,1526.5,3381800,1347.412,-0.019274012
1565.5,1695.62,1523.5,1556.5,3707600,1373.893,-0.008598726
1597,1598.5,1506.68,1570,3958500,1385.809,-0.013199246
1635.5,1691,1575.5,1591,3961600,1404.345,-0.027208805
1617,1639.5,1539.5,1635.5,4838700,1443.625,0.018368618
1592.5,1659.5,1567,1606,4956100,1417.585,0.005950517
1649.5,1649.5,1540,1596.5,4323400,1409.2,-0.02771011
1650,1718.08,1631,1642,4459700,1449.362,0.001524855
1692,1701,1616.5,1639.5,3923700,1447.155,-0.031028369
1745.5,1759.64,1685.5,1692,2687500,1493.496,-0.021682567
1853.5,1890,1727.5,1729.5,3352400,1526.597,-0.086129458
1852,1900.5,1836.5,1892.5,4211200,1638.699,0.022696568
1836.5,1888,1825,1850.5,3522600,1602.331,-0.026052632
1956,2000.5,1866,1900,3484800,1645.193,-0.021627188
2029,2034.8,1904,1942,3630500,1681.56,-0.047572339
1967,2088.5,1952,2039,3438300,1765.552,0.033713561
1960,1995,1906.67,1972.5,2863900,1707.97,0.009467758
1894,1965,1860.5,1954,3016900,1691.951,0.036055143
1876,1936.5,1858.5,1886,2693300,1633.07,0.000265182
2043,2057,1852,1885.5,4409200,1632.637,-0.076640548
1993,2084.2,1974,2042,3625200,1768.149,0.01998002
1885.5,2019,1877.5,2002,1944800,1733.514,0.051470588
1878.5,1942.5,1862.08,1904,630900,1648.656,0.014114514
1825.5,1924.12,1824.5,1877.5,3202800,1625.71,0.027922256
1804,1896.23,1798.5,1826.5,3133700,1581.55,0.008558807
1736,1826,1723.5,1811,3265800,1568.129,0.045310245
1707.5,1776,1684,1732.5,2907800,1500.156,0.007853403
1693,1730.5,1669.5,1719,3594700,1488.467,0.033052885
1860,1866,1662.5,1664,5259900,1440.843,-0.108252947
1918,1950,1843.5,1866,3062700,1615.753,-0.036654621
1929,1973.5,1887,1937,2772600,1677.231,0.001810189
1893,1955,1840,1933.5,4197700,1674.2,0.019509623
1815,1954.5,1774,1896.5,4269500,1642.162,0.039462867
1800,1879.27,1775.5,1824.5,3333100,1579.818,0.00662069
1815.5,1910.35,1790.5,1812.5,4095300,1569.427,-0.00247661
1906,1919,1813,1817,3884600,1573.324,-0.062435501
2071.5,2091.5,1928,1938,4388000,1678.097,-0.070057582
1970,2086.5,1876,2084,4965900,1804.517,0.05652725
1750,1982.32,1720.5,1972.5,4614300,1707.97,0.127142857
1885,1902,1736,1750,3665500,1515.309,-0.071618037
1931,1995.5,1867,1885,4199400,1632.204,-0.022049287
2036,2049,1912.5,1927.5,3290400,1669.005,-0.055147059
1904,2049,1894,2040,2949000,1746.694,0.073401736
1860.5,1941,1850.5,1900.5,3379900,1627.251,0.00343189
1991,1994.85,1856.5,1894,3675400,1621.686,-0.066305152
2036,2074.5,1991.5,2028.5,3508600,1736.848,-0.00806846
2104.5,2110,1989,2045,2898300,1750.975,-0.028041825
2097,2210.5,2084.5,2104,2785300,1801.493,0.007421594
2046.5,2126,1994,2088.5,2870900,1788.221,0.011135318
2166.5,2215,2053.5,2065.5,4443200,1768.528,-0.03028169
2159,2159.5,2056.5,2130,4140300,1823.754,0.027000964
1955.5,2171.5,1955.5,2074,3063500,1775.806,0.060598312
2029.5,2070.5,1912,1955.5,3308800,1674.344,-0.022738631
2011.5,2106.5,1986.5,2001,3745400,1713.302,-0.008915305
2150,2156.5,1990,2019,3506700,1728.714,-0.076817558
2263,2263,2124,2187,2627400,1872.559,-0.033583738
2392,2441.15,2250,2263,3258000,1937.632,-0.049559009
2314.5,2404,2268,2381,2836500,2038.666,0.013622818
2260,2366.5,2213,2349,3810200,2011.267,0.038232044
2298.5,2311,2200,2262.5,4043400,1937.204,-0.015662389
2365,2377,2243,2298.5,2935500,1968.028,-0.016474112
2480.5,2501.5,2282.5,2337,4380100,2000.993,-0.049806871
2623.5,2629,2387.5,2459.5,3256500,2078.177,-0.060542399
2579.5,2627.01,2554,2618,3055700,2212.102,0.009641342
2622.5,2630.5,2485,2593,3551700,2190.979,-0.018174934
2664,2752,2625.5,2641,3075600,2231.536,-0.019491368
2696,2739.5,2666,2693.5,2824300,2275.897,0.007292446
2780.5,2844.5,2589,2674,4657000,2259.42,-0.026397233
2907,2958,2724.75,2746.5,4045300,2320.68,-0.056185567
2668.5,2923.47,2615,2910,4523400,2458.83,0.078376876
2657.5,2765,2616.5,2698.5,3055400,2280.122,0.014473684
2541,2666.5,2522.95,2660,3761800,2247.591,0.034818129
2470,2599.5,2396.79,2570.5,3326600,2171.967,0.041109761
2379,2514.5,2379,2469,2080500,2086.204,
